N	2-theta(deg)	d(ang.)	Phase name
1	40	2.2286	Unknown
2	42	2.1442	Chromium(1,1,1)
3	44	2.0483	Chromium, syn(1,1,0),Tungsten Carbide(1,0,2),Chromium Carbide(2,0,0)
4	48	1.9017	Tungsten Carbide(1,1,2),Qusongite, syn(1,0,1)
5	50	1.8246	Chromium(2,0,0),Tungsten Carbide(0,2,2)
6	64	1.4444	Chromium, syn(2,0,0),Tungsten Carbide(1,3,2),Qusongite, syn(0,0,2),Chromium Carbide(2,2,0)
7	72	1.3115	Unknown
8	73	1.2890	Chromium(2,2,0),Tungsten Carbide(1,2,3),Qusongite, syn(1,1,1)
9	81	1.1835	Chromium, syn(2,1,1),Tungsten Carbide(1,3,3),Chromium Carbide(2,2,2)
10	87	1.1176	Chromium(3,1,1),Tungsten Carbide(2,4,2)
11	98	1.0197	Chromium, syn(2,2,0),Tungsten Carbide(2,1,4),Qusongite, syn(1,1,2),Chromium Carbide(4,0,0)
